Date,Open,High,Low,Close,Adj Close,Volume
2019-09-13,92.150002,92.150002,90.320000,90.480003,81.409981,6972300
2019-09-16,90.019997,90.449997,89.379997,89.419998,80.456245,6339200
2019-09-17,89.669998,91.459999,89.650002,90.750000,81.652931,6493200
2019-09-18,90.980003,91.360001,90.059998,90.959999,81.841873,4510700
2019-09-19,90.989998,92.099998,90.300003,91.559998,82.381744,4843600
2019-09-20,91.610001,92.080002,90.059998,90.070000,81.041077,10913800
2019-09-23,90.320000,91.160004,89.930000,90.809998,81.706902,4532400
2019-09-24,91.599998,91.769997,89.510002,89.919998,80.906113,5662600
2019-09-25,89.940002,90.610001,89.019997,90.349998,81.293030,4764000
2019-09-26,90.839996,91.150002,89.500000,89.800003,80.798149,5026400
2019-09-27,90.300003,90.300003,87.790001,88.370003,79.511505,5987700
2019-09-30,88.410004,88.559998,87.610001,88.419998,79.556488,6588300
2019-10-01,88.629997,88.889999,86.449997,86.510002,77.837952,6719400
2019-10-02,85.949997,86.010002,84.160004,84.320000,75.867485,9858200
2019-10-03,84.300003,84.910004,83.610001,84.669998,76.182396,5989000
2019-10-04,84.900002,85.970001,84.750000,85.919998,77.307083,5869000
2019-10-07,85.709999,86.160004,85.489998,85.849998,77.244095,4382900
2019-10-08,85.489998,86.330002,84.690002,84.910004,76.398354,6100400
2019-10-09,85.370003,86.169998,85.279999,85.849998,77.244095,4427200
2019-10-10,85.910004,86.070000,85.379997,85.959999,77.343079,3986000
2019-10-11,87.019997,87.250000,86.260002,86.360001,77.702995,5611000
2019-10-14,86.500000,87.680000,86.400002,86.620003,77.936943,4881000
2019-10-15,87.000000,87.250000,85.760002,86.449997,77.783943,4695100
2019-10-16,86.529999,86.830002,86.050003,86.709999,78.017906,3698700
2019-10-17,86.879997,87.019997,86.160004,86.290001,77.640007,4359400
2019-10-18,86.349998,86.750000,85.519997,86.029999,77.406075,4631200
2019-10-21,86.000000,86.239998,85.080002,85.349998,76.794243,4861200
2019-10-22,85.230003,85.349998,83.389999,83.459999,75.093689,5767500
2019-10-23,84.309998,84.410004,82.129997,82.739998,74.445862,7136200
2019-10-24,82.800003,83.529999,82.660004,83.180000,74.841759,4591100
2019-10-25,83.209999,83.570000,82.629997,83.379997,75.021706,5235300
2019-10-28,84.470001,84.980003,83.360001,83.599998,75.219658,6653400
2019-10-29,83.809998,84.629997,83.639999,84.129997,75.696541,5699100
2019-10-30,84.610001,84.699997,83.320000,84.190002,75.750526,8731300
2019-10-31,86.709999,87.220001,83.279999,84.559998,76.083427,14008800
2019-11-01,84.790001,85.309998,82.610001,83.209999,74.868752,10658500
2019-11-04,83.300003,83.440002,81.900002,82.370003,74.112930,8271200
2019-11-05,82.339996,82.339996,81.029999,81.889999,73.681084,7054400
2019-11-06,82.080002,83.370003,82.000000,82.989998,74.670792,6365300
2019-11-07,83.059998,83.290001,81.839996,81.949997,73.735062,7221400
2019-11-08,82.190002,82.639999,81.449997,81.769997,73.573082,7054800
2019-11-11,81.750000,82.529999,81.370003,82.430000,74.166946,5828200
2019-11-12,82.690002,83.980003,82.610001,83.320000,75.342484,8551400
2019-11-13,83.290001,84.290001,83.199997,83.940002,75.903091,7407900
2019-11-14,84.099998,84.519997,83.800003,84.379997,76.300995,5285100
2019-11-15,84.680000,84.940002,83.570000,84.209999,76.147247,7533000
2019-11-18,83.919998,84.110001,83.250000,84.019997,75.975441,6432200
2019-11-19,84.059998,84.279999,83.570000,83.660004,75.649925,6008400
2019-11-20,83.540001,84.489998,82.980003,83.599998,75.595665,6248700
2019-11-21,83.750000,84.040001,81.760002,82.300003,74.420151,8300500
2019-11-22,82.690002,83.389999,82.660004,83.019997,75.071190,6080400
2019-11-25,83.160004,84.000000,82.930000,83.750000,75.731293,5450400
2019-11-26,84.129997,84.650002,84.000000,84.559998,76.463730,7651500
2019-11-27,84.849998,85.809998,84.419998,85.769997,77.557907,7502400
2019-11-29,85.910004,86.730003,85.250000,85.430000,77.250450,3857000
2019-12-02,85.379997,85.769997,83.820000,84.570000,76.472801,6425800
2019-12-03,84.029999,85.000000,83.820000,84.820000,76.698853,6049800
2019-12-04,85.129997,85.540001,84.699997,85.400002,77.223312,5940300
2019-12-05,85.440002,85.480003,84.320000,84.449997,76.364281,5170800
2019-12-06,85.029999,86.529999,85.029999,86.320000,78.055237,8499800
2019-12-09,86.309998,86.629997,85.959999,86.279999,78.019081,7164700
2019-12-10,86.500000,87.470001,85.910004,86.040001,77.802055,7944800
2019-12-11,86.260002,86.870003,85.849998,86.589996,78.299385,4921900
2019-12-12,88.000000,88.889999,87.540001,88.209999,79.764282,10282100
2019-12-13,88.019997,88.790001,87.580002,88.669998,80.180244,6714100
2019-12-16,89.139999,89.300003,88.430000,88.779999,80.279701,6705600
2019-12-17,88.870003,88.970001,87.470001,88.129997,79.691940,7296900
2019-12-18,88.389999,88.849998,87.820000,87.989998,79.565338,5859200
2019-12-19,87.830002,88.589996,87.580002,88.519997,80.044586,6022100
2019-12-20,88.790001,89.000000,87.889999,88.459999,79.990349,14271500
2019-12-23,88.620003,88.849998,88.180000,88.230003,79.782372,4349700
2019-12-24,88.199997,88.599998,88.000000,88.519997,80.044586,1847800
2019-12-26,88.730003,88.760002,87.790001,88.080002,79.646729,4177700
2019-12-27,88.110001,88.459999,87.690002,88.129997,79.691940,4129300
2019-12-30,88.010002,88.199997,87.059998,87.440002,79.068001,4655600
2019-12-31,87.440002,87.989998,87.309998,87.919998,79.502037,4115600
2020-01-02,88.120003,89.349998,88.050003,89.349998,80.795113,6473800
2020-01-03,88.660004,89.099998,88.099998,88.830002,80.324905,4874100
2020-01-06,88.110001,88.410004,87.470001,88.129997,79.691940,5409800
2020-01-07,87.959999,88.029999,87.129997,87.860001,79.447784,6514700
2020-01-08,87.940002,89.349998,87.779999,88.879997,80.370117,7296300
2020-01-09,90.250000,91.160004,90.070000,90.529999,81.862144,9443500
2020-01-10,90.800003,90.889999,89.629997,90.160004,81.527580,7097900
2020-01-13,90.620003,91.720001,90.209999,91.080002,82.359497,7382500
2020-01-14,91.190002,91.440002,90.860001,90.989998,82.278107,5855200
2020-01-15,91.000000,92.059998,91.000000,91.540001,82.775452,6145300
2020-01-16,91.989998,92.610001,91.629997,92.580002,83.715874,5180300
2020-01-17,92.930000,93.750000,92.809998,93.620003,84.656296,6962800
2020-01-21,92.830002,93.599998,92.190002,92.529999,83.670654,7094600
2020-01-22,93.139999,93.750000,92.470001,92.529999,83.670654,6157400
2020-01-23,91.919998,93.849998,90.739998,93.750000,84.773849,6100600
2020-01-24,94.000000,94.129997,91.339996,92.029999,83.218521,7815500
2020-01-27,88.629997,89.449997,87.550003,88.730003,80.234497,11066500
